Movie Name,Release Date,Opening Day,Opening Weekend,End of Week 1,Lifetime
Dharam Veer,30-Nov-76,0,0,0,6.75
Maha Badmaash,30-Nov-76,0,0,0,1.2
Daku Aur Jawan,29-Dec-78,0,0,0,1.9
Swarg Narak,21-Dec-78,0,0,0,2.5
Karmayogi,15-Dec-78,0,0,0,1.7
Muqaddar Ka Sikandar,27-Oct-78,0,0,0,8.5
Dil Aur Deewar,15-Sep-78,0,0,0,1.6
Azaad,1-Sep-78,0,0,0,3
Shalimar,12-Aug-78,0,0,0,1.4
Satyam Shivam Sundaram,6-Aug-78,0,0,0,2.25
Main Tulsi Tere Aangan Ki,4-Aug-78,0,0,0,2.75
Muqaddar,14-Jul-78,0,0,0,1.46
Des Pardes,29-Jun-78,0,0,0,1.55
Don,12-Jun-78,0,0,0,3.5
Trishul,4-May-78,0,0,0,5.5
Kasme Vaade,20-Apr-78,0,0,0,2.4
Ganga Ki Saugandh,10-Feb-78,0,0,0,2.3
Vishwanath,20-Jan-78,0,0,0,2
Khoon Ki Pukar,1-Jan-78,0,0,0,1.5
Be-Sharam,1-Jan-78,0,0,0,1.35
Phandebaaz,30-Nov-77,0,0,0,2.1
Pati Patni Aur Woh,30-Nov-77,0,0,0,1.8
Ahinsa,28-Dec-79,0,0,0,1.3
Hum Tere Ashiq Hain,30-Nov-79,0,0,0,1.25
Suhaag,16-Nov-79,0,0,0,5
Dil Ka Heera,19-Oct-79,0,0,0,1.6
Lahu Ke Do Rang,28-Sep-79,0,0,0,1.55
Nalayak,14-Sep-79,0,0,0,1.2
Kaala Patthar,24-Aug-79,0,0,0,3
Duniya Meri Jeb Mein,10-Aug-79,0,0,0,1.5
Sargam,1-Aug-79,0,0,0,4
Khandaan,18-Jul-79,0,0,0,1.7
Guru Ho Jaa Shuru,6-Jul-79,0,0,0.007,0.007
Suraksha,22-Jun-79,0,0,0,1.75
Mr. Natwarlal,8-Jun-79,0,0,0,3.25
Jaani Dushman,25-May-79,0,0,0,4.5
Amar Deep,18-May-79,0,0,0,1.15
Kartavya,11-May-79,0,0,0,2.75
The Great Gambler,6-Apr-79,0,0,0,2.25
Gautam Govinda,2-Mar-79,0,0,0,1.4
Muqabla,30-Nov-78,0,0,0,1.45
Dada,30-Nov-78,0,0,0,1.35
Noorie,30-Nov-78,0,0,0,2.5
Shaan,12-Dec-80,0,0,0,4.25
Ram Balram,28-Nov-80,0,0,0,4.75
Insaaf Ka Tarazu,11-Nov-80,0,0,0,2.25
Maang Bharo Sajna,7-Nov-80,0,0,0,2.15
Saboot,4-Nov-80,0,0,0,1.2
Nishana,17-Oct-80,0,0,0,1.25
Dostana,17-Oct-80,0,0,0,4.5
Abdullah,26-Sep-80,0,0,0,1.7
Judaai,26-Sep-80,0,0,0,2.5
Beraham,29-Aug-80,0,0,0,1.8
Unnes Bees,4-Jul-80,0,0,0,1.75
Sau Din Saas Ke,27-Jun-80,0,0,0,1.35
Karz,26-Jun-80,0,0,0,2.75
Qurbani,20-Jun-80,0,0,0,6
Thodi Si Bewafai,13-Jun-80,0,0,0,1.3
Jyoti Bane Jwala,6-Jun-80,0,0,0,3.5
Alibaba Aur 4  Chor,29-May-80,0,0,0,3
Choron Ki Baaraat,23-May-80,0,0,0,1.4
Swayamvar,9-May-80,0,0,0,2
Takkar,18-Apr-80,0,0,0,1.6
The Burning Train,28-Mar-80,0,0,0,3.25
Aasha,21-Mar-80,0,0,0,5
Chunaoti,14-Mar-80,0,0,0,1.9
Khubsoorat,25-Jan-80,0,0,0,1.15
Do Aur Do Paanch,4-Jan-80,0,0,0,1.5
Kaalia,25-Dec-81,0,0,0,3.75
Meri Awaaz Suno,18-Dec-81,0,0,0,6.5
Fifty Fifty,13-Nov-81,0,0,0,1.8
Maan Gaye Ustaad,30-Oct-81,0,0,0,1.65
Yaarana,23-Oct-81,0,0,0,3.5
Ek Hi Bhool,9-Oct-81,0,0,0,2.3
Khuda Kasam,9-Oct-81,0,0,0,1.6
Katilon Ka Katil,10-Sep-81,0,0,0,4
Hum Se Badhkar Kaun,3-Jul-81,0,0,0,1.7
Ek Duuje Ke Liye,5-Jun-81,0,0,0,4.75
Professor Pyarelal,5-Jun-81,0,0,0,2.2
Laawaris,22-May-81,0,0,0,6
Jyoti,15-May-81,0,0,0,1.45
Rocky,8-May-81,0,0,0,3
